,startTime,open,high,low,close,volume,endTime,quoteAssetVolume,trades,takerBaseVolume,takerQuoteVolume,timestamp
78,1637165640000,59640.41,59847.64,59640.41,59847.64,0.624153,0,37306.61339561,22,0,0,2021-11-17 16:14:00
79,1637165700000,59847.64,59946.13,59835,59945.71,0.484068,0,28996.29457208,26,0,0,2021-11-17 16:15:00
80,1637165760000,59945.71,60000,59918.01,59948.49,2.270885,0,136213.82365596,40,0,0,2021-11-17 16:16:00
81,1637165820000,59948.49,59967.83,59753.03,59753.03,0.271542,0,16274.26759262,14,0,0,2021-11-17 16:17:00
82,1637165880000,59753.03,59842.31,59753.03,59834.96,0.151382,0,9057.78267154,4,0,0,2021-11-17 16:18:00
83,1637165940000,59834.96,59834.96,59569.22,59569.22,0.229417,0,13683.42313081,12,0,0,2021-11-17 16:19:00
84,1637166000000,59569.22,59633.45,59553.28,59633.45,0.167795,0,9996.90443552,16,0,0,2021-11-17 16:20:00
85,1637166060000,59633.45,59678.38,59587.35,59678.38,0.422504,0,25192.16566127,7,0,0,2021-11-17 16:21:00
86,1637166120000,59678.38,59842.86,59659.62,59837.27,1.375332,0,82166.22617223,26,0,0,2021-11-17 16:22:00
87,1637166180000,59837.27,59837.27,59795.77,59810.74,0.910583,0,54473.86388906,21,0,0,2021-11-17 16:23:00
88,1637166240000,59810.74,59810.74,59739.68,59739.68,0.146875,0,8779.3788992,8,0,0,2021-11-17 16:24:00
89,1637166300000,59739.68,59803.02,59739.68,59803.02,0.529887,0,31681.9340689,14,0,0,2021-11-17 16:25:00
90,1637166360000,59803.02,59839.33,59777.77,59837.58,4.996023,0,298895.42630983,46,0,0,2021-11-17 16:26:00
91,1637166420000,59837.58,59944.35,59837.58,59875.6,4.428084,0,265110.15252967,54,0,0,2021-11-17 16:27:00
92,1637166480000,59875.6,59944.64,59875.6,59928.85,0.253717,0,15204.71156919,8,0,0,2021-11-17 16:28:00
93,1637166540000,59928.85,59949.14,59928.85,59932.68,4.784378,0,286774.6953101,57,0,0,2021-11-17 16:29:00
94,1637166600000,59932.68,59949.14,59875.62,59875.62,3.580225,0,214596.42371119,44,0,0,2021-11-17 16:30:00
95,1637166660000,59875.62,59967.54,59875.6,59962.92,2.666936,0,159868.4011515,35,0,0,2021-11-17 16:31:00
96,1637166720000,59962.92,60062.96,59962.92,60062.96,2.444312,0,146735.04963915,27,0,0,2021-11-17 16:32:00
97,1637166780000,60062.96,60183.2,60049.1,60095.82,0.879043,0,52839.3213447,19,0,0,2021-11-17 16:33:00
98,1637166840000,60095.82,60200,60095.82,60172.13,1.036741,0,62352.67760364,23,0,0,2021-11-17 16:34:00
99,1637166900000,60172.13,60275.23,60140.22,60250.01,0.702574,0,42309.86978192,20,0,0,2021-11-17 16:35:00
100,1637166960000,60250.01,60293.88,60217.81,60217.81,1.086019,0,65430.81342859,21,0,0,2021-11-17 16:36:00
101,1637167020000,60217.81,60217.81,60062.47,60062.47,0.724367,0,43545.76728734,25,0,0,2021-11-17 16:37:00
102,1637167080000,60062.47,60165.79,60028.27,60147.17,1.802216,0,108305.67519626,25,0,0,2021-11-17 16:38:00
103,1637167140000,60147.17,60147.17,60092.15,60098.73,0.154631,0,9293.32698737,3,0,0,2021-11-17 16:39:00
104,1637167200000,60098.73,60108.83,60091.54,60100.38,0.280974,0,16885.3516811,8,0,0,2021-11-17 16:40:00
105,1637167260000,60100.38,60100.38,60034.1,60047.47,0.678758,0,40760.93376439,11,0,0,2021-11-17 16:41:00
106,1637167320000,60047.47,60047.47,60023,60023,1.326002,0,79615.93354779,16,0,0,2021-11-17 16:42:00
107,1637167380000,60023,60125.76,60023,60125.76,2.183908,0,131140.65898431,27,0,0,2021-11-17 16:43:00
108,1637167440000,60125.76,60200.08,60125.76,60177.68,0.097845,0,5886.73858482,9,0,0,2021-11-17 16:44:00
109,1637167500000,60177.68,60191.23,60171.08,60188.28,0.402505,0,24224.03022274,10,0,0,2021-11-17 16:45:00
110,1637167560000,60188.28,60194.76,60152.04,60173.59,0.523228,0,31481.91357407,14,0,0,2021-11-17 16:46:00
111,1637167620000,60173.59,60333,60173.59,60333,4.895306,0,294839.07691976,55,0,0,2021-11-17 16:47:00
112,1637167680000,60333,60349.84,60284.51,60349.84,0.377639,0,22781.14162675,14,0,0,2021-11-17 16:48:00
113,1637167740000,60349.84,60381.64,60349.84,60364.43,0.026217,0,1582.5026453,4,0,0,2021-11-17 16:49:00
114,1637167800000,60364.43,60364.43,60257.46,60342.89,0.309926,0,18691.3198874,9,0,0,2021-11-17 16:50:00
115,1637167860000,60342.89,60342.89,60259.61,60270.63,0.273987,0,16513.15929756,7,0,0,2021-11-17 16:51:00
116,1637167920000,60270.63,60274.62,60262.7,60274.62,0.156799,0,9450.02428559,4,0,0,2021-11-17 16:52:00
117,1637167980000,60274.62,60295.13,60256.68,60283.83,0.177336,0,10686.85236487,10,0,0,2021-11-17 16:53:00
118,1637168040000,60283.83,60284.32,60269.23,60270.6,0.063814,0,3846.12319355,4,0,0,2021-11-17 16:54:00
119,1637168100000,60270.6,60288.91,60262.16,60288.91,0.020367,0,1227.45770428,5,0,0,2021-11-17 16:55:00
